Date ,Open,Close,Label
5/20/2011,"2,815.96","2,803.32",0
5/19/2011,"2,824.05","2,823.31",0
5/18/2011,"2,782.65","2,815.00",1
5/17/2011,"2,769.17","2,783.21",1
5/16/2011,"2,815.90","2,782.31",0
5/13/2011,"2,859.70","2,828.47",0
5/12/2011,"2,833.67","2,863.04",1
5/11/2011,"2,867.16","2,845.06",0
5/10/2011,"2,851.91","2,871.89",1
5/9/2011,"2,828.24","2,843.25",1
5/6/2011,"2,840.71","2,827.56",0
5/5/2011,"2,812.84","2,814.72",1
5/4/2011,"2,842.92","2,828.23",0
5/3/2011,"2,859.30","2,841.62",0
5/2/2011,"2,881.28","2,864.08",0
4/29/2011,"2,869.74","2,873.54",1
4/28/2011,"2,862.82","2,872.53",1
4/27/2011,"2,853.88","2,869.88",1
4/26/2011,"2,832.48","2,847.54",1
4/25/2011,"2,820.28","2,825.88",1
4/21/2011,"2,820.77","2,820.16",0
4/20/2011,"2,788.84","2,802.51",1
4/19/2011,"2,741.35","2,744.97",1
4/18/2011,"2,731.22","2,735.38",1
4/15/2011,"2,752.87","2,764.65",1
4/14/2011,"2,743.12","2,760.22",1
4/13/2011,"2,762.69","2,761.52",0
4/12/2011,"2,755.89","2,744.79",0
4/11/2011,"2,789.49","2,771.51",0
4/8/2011,"2,806.29","2,780.42",0
4/7/2011,"2,799.59","2,796.14",0
4/6/2011,"2,808.11","2,799.82",0
4/5/2011,"2,787.78","2,791.19",1
4/4/2011,"2,796.26","2,789.19",0
4/1/2011,"2,796.67","2,789.60",0
3/31/2011,"2,774.23","2,781.07",1
3/30/2011,"2,772.36","2,776.79",1
3/29/2011,"2,727.83","2,756.89",1
3/28/2011,"2,752.33","2,730.68",0
3/25/2011,"2,746.34","2,743.06",0
3/24/2011,"2,715.88","2,736.42",1
3/23/2011,"2,677.56","2,698.30",1
3/22/2011,"2,692.13","2,683.87",0
3/21/2011,"2,675.47","2,692.09",1
3/18/2011,"2,665.54","2,643.67",0
3/17/2011,"2,656.08","2,636.05",0
3/16/2011,"2,652.92","2,616.82",0
3/15/2011,"2,619.40","2,667.33",1
3/14/2011,"2,695.66","2,700.97",1
3/11/2011,"2,689.65","2,715.61",1
3/10/2011,"2,719.29","2,701.02",0
3/9/2011,"2,756.34","2,751.72",0
3/8/2011,"2,745.23","2,765.77",1
3/7/2011,"2,793.19","2,745.63",0
3/4/2011,"2,797.64","2,784.67",0
3/3/2011,"2,774.48","2,798.74",1
3/2/2011,"2,735.05","2,748.07",1
3/1/2011,"2,791.08","2,737.41",0
2/28/2011,"2,791.28","2,782.27",0
2/25/2011,"2,752.16","2,781.05",1
